,m,tau_1,tau_2,l_1,l_2,mu_1,mu_2,llhood,ideal_ll
0,0,0.4243671320074104,0.7037044737670353,0.0878772669814131,0.15984744865913875,-0.15474000771103438,-1.3976244642555709,-66.0820094645793,-24.55176
1,1,0.3376915011958328,0.6131370546412744,0.07823392294920753,0.20220356106239498,-0.19989486634015205,-1.2885472579186332,-78.63417190053931,-26.162416
2,2,0.30224172777573166,0.39492591504684516,0.07150937086962257,0.27054054822652723,0.1893168666093058,-1.349676425690858,-83.90427074199762,-25.179024
3,3,0.30942340293256365,0.9063682849725189,0.07535134138132883,0.27291422561672934,0.1708456615379742,-1.6687394090348495,-63.09917953978348,-16.098354
4,4,0.28818171385266006,1.074426057190999,0.07838886174197159,0.24600584346892293,0.15535672248350282,-1.4474361759456802,-70.91147670014726,-24.622196
5,5,0.31451600290164755,1.3313713967402672,0.07661708406946861,0.21797615705227377,-0.22146275350390793,-1.3667770898326177,-72.39391187359607,-26.086752
6,6,0.31905038363898247,0.9799413556473995,0.07817655063350791,0.23504796144928086,-0.24063028795528812,-1.3527437722603461,-79.81842222316112,-29.934996
7,7,0.3351514216908658,0.7632217393964934,0.07535858047806548,0.19132496604730495,-0.2590230667201033,-1.345938030384839,-81.61544122470855,-20.630045
8,8,0.32171915206399687,1.051684942325665,0.07575735560343438,0.1970456997171591,-0.20095460172739113,-1.2515968452141026,-84.63348765954838,-27.894533
9,9,0.314087528171721,0.47511782203528896,0.073754772994717,0.4638833222370632,0.22938361230670906,-1.4115757921811145,-75.08047234238308,-26.816933
10,10,0.47982656268879476,0.8499732417326354,0.09503071215512823,0.1624232968093381,-0.12284221965359092,-1.3898544379905355,-64.87515410225964,-26.368792
11,11,0.28911631487737477,0.8464689924933184,0.07281255810793953,0.21403685045438892,0.1991334881500351,-1.4591831569104883,-74.32626910875926,-26.79977
12,12,0.3029890138192585,0.6623978825418447,0.06930690971770528,0.21282733729390996,-0.2678721345682508,-1.2819585951425085,-79.57414837201657,-32.781734
13,13,0.4508237756338592,0.8412059568145801,0.09537822007699137,0.1913631125010858,-0.1729065198110792,-1.416039672331442,-69.68630710438178,-26.784147
14,14,0.31154851800617794,0.8328536010031,0.07267576815879126,0.22673337770646623,-0.19903419435554562,-1.4268037820708732,-67.35297354427416,-27.01874
15,15,0.29164395221983247,0.5850911328582434,0.07155243683029461,0.2431453003912976,0.13854369756881663,-1.3822503771673196,-84.84164237172808,-21.719532
16,16,0.5025088882005405,0.6011606866188082,0.10092367398608307,0.18068758362285878,-0.0947251299574896,-1.5309032982866442,-74.77124830007703,-29.730314
17,17,0.2752201569249806,0.607920177362629,0.07324957151174342,0.2543220713350186,0.053342662441979535,-1.442686489114253,-77.78755904920536,-22.813566
18,18,0.30851065170657643,0.9085187142596177,0.07702793861077062,0.2360466667880516,0.1715336365958135,-1.421059543580091,-72.49343537967388,-16.213123
19,19,0.32798573775219214,0.8001912513165099,0.07627135357561561,0.2326478491169761,0.2393308760552258,-1.392977204269708,-76.03664566988807,-31.32527
20,20,0.3030704385711037,0.8729564381428916,0.07474479270798288,0.23985942564156856,0.19962160951400484,-1.3833378021726501,-70.15911499725743,-25.278193
21,21,0.5145080367263414,0.6191100286831807,0.10096942198305733,0.18226855871345812,-0.06039885592139097,-1.5382243853610658,-76.10101478950239,-30.328964
22,22,0.28188234253204325,0.5105859897548815,0.06385204863841229,0.21306258366262795,0.14947049816013822,-1.2551376095409599,-84.41639906198205,-37.870003
23,23,0.29794285859868286,0.6350212582658826,0.07129710964933533,0.2468081947113594,0.21873203776427677,-1.4005003402387337,-68.09516241949163,-23.193047
24,24,0.27881651420498865,0.7677391368024411,0.0751873624908492,0.24648248878946083,0.2012826960291952,-1.4147236337314517,-79.56093156235671,-28.33195
25,25,0.2657801062872066,0.8408600863406541,0.07049533001510583,0.22111037395520663,0.14436369491513668,-1.3252443415827495,-76.95214724297803,-32.186245
26,26,0.5693772840942567,0.8096598464646119,0.10334516175347262,0.15969429659931692,-0.13516217591217963,-1.5248523786147528,-58.13577805750722,-22.175262
27,27,0.28123626617614567,0.6743278131283154,0.07055877186650641,0.21504169106826737,0.11142773642186905,-1.4110695995698028,-76.68958775218388,-21.665836
28,28,0.2856224027806005,0.7561583192412438,0.0748945544182349,0.22573909186776722,0.09947799144606648,-1.4506886270230046,-69.8896421887487,-25.656046
29,29,0.26110134220276016,0.7661391302033069,0.06797442684150162,0.22648913201088552,0.16909344837898346,-1.376541642005239,-78.11867955884127,-26.976503
30,30,0.5000737230893989,0.6564664281660191,0.0957655038679512,0.1469375705059843,-0.11859247302268812,-1.3024547121388004,-67.14796531382794,-28.991657
31,31,0.28969090902670896,0.7264314391028748,0.07047885965265768,0.22558668126539805,0.20648074583673556,-1.4273553800150698,-69.91784309242539,-21.199543
32,32,0.3251630185249341,1.238701786821181,0.07528821703617757,0.23458969313423894,-0.2228927646108224,-1.4041111511174602,-84.05272796677838,-27.932741
33,33,0.30161767721582616,0.499043664036588,0.06765485753541044,0.2572966235477623,0.27662562843691246,-1.4287312298487724,-77.56369819719266,-28.65694
34,34,0.25915042010430467,0.9703342036856012,0.07150032695854792,0.2109344268074541,0.09641642344269619,-1.2567520000082886,-85.364270101669,-30.359413
35,35,0.4524678881903087,0.6085429147467367,0.09138511080568071,0.17484288690265837,-0.13986842986620993,-1.4725449405448752,-83.92259322504657,-40.14944
36,36,0.32117734242975443,0.4929179218482798,0.07628918426500092,0.37100350719911557,0.2509154617686771,-1.3428714589772626,-71.43220052707854,-20.789412
37,37,0.30313334801197556,0.7318381937873916,0.07409746264607787,0.19535047794374838,0.1648308549779766,-1.4258046106097833,-83.07957623224904,-30.737316
38,38,0.2987259424187832,1.246748164708983,0.07559715821220978,0.2085908644318973,-0.18481101013152956,-1.3218630155281765,-83.80158942695739,-39.899376
39,39,0.26118751923835176,0.7043525258103145,0.07160730943246986,0.21858090780445932,0.12488918517937107,-1.408896298111879,-86.50131204475015,-33.77234
40,40,0.3002367160582224,0.899915840492427,0.07616255364440364,0.21696605478165898,-0.11210412464893156,-1.4984843030766426,-63.24367458793971,-26.99571
41,41,0.33163000358777606,0.5653222102903646,0.07825065839135321,0.21932450197811182,0.14687055299025065,-1.2484896855464918,-85.36204661055424,-29.26331
42,42,0.2950752980688498,0.7603025592865125,0.07124972831917231,0.21462416220181477,0.14708552052831844,-1.5382793794819098,-79.18020692119038,-21.749147
43,43,0.45736822703107116,0.7207701568401612,0.09131835995899755,0.1615308431851459,-0.10234126804406066,-1.3682521776969558,-72.35404544008072,-28.727955
44,44,0.32400119860889376,0.694991175178598,0.07889039803191936,0.23088725164150112,-0.19467191255014246,-1.355505843702058,-67.53381539521037,-26.111784
45,45,0.2946943004809353,0.7312680059197547,0.07157928430241872,0.24328890874037534,0.1839730567488067,-1.2881669862053098,-73.86510696862047,-28.906195
46,46,0.49972263003114864,0.31944314109377053,0.0907131498459463,0.18904785031112098,-0.1287553721522971,-1.3295243680038145,-89.1892992355295,-37.45281
47,47,0.28492423359460084,0.5203213023853429,0.0703410428977936,0.23150766261482392,0.10991273731397676,-1.4238312911760655,-77.28334329283342,-24.374977
48,48,0.2693277494007861,1.1765935179646363,0.07389558335329321,0.2566287174930945,0.10375805965503812,-1.3649512606200935,-73.42440063306509,-22.387623
49,49,0.28306600129879644,0.44401813399422263,0.06459289524299076,0.23251235799005252,0.17781548208900572,-1.1303506408377115,-98.40081698477184,-36.307262
